split,samples,log2_rmse,global_r2,protein_r2_median,evaluated_proteins,paired_values,delta_rmse,delta_pcc,method
val_chem_only,1065,0.39393624663352966,0.9800158143043518,0.8343717455863953,4422,4021051,0.38672909140586853,0.3710978715613314,neural_multiloss
val_strain_only,1333,0.4879751205444336,0.9687948822975159,0.6876024007797241,4421,5088955,0.48153024911880493,0.375720344957646,neural_multiloss
val_both,269,0.5038562417030334,0.9673412442207336,0.7540201246738434,4414,1008739,0.4976848065853119,0.2703367917284295,neural_multiloss
val_time,139,0.37826207280158997,0.981429398059845,0.7978373169898987,4422,521097,0.37200844287872314,0.5248391757943629,neural_multiloss
val_chem_only,1065,0.37047845125198364,0.9823171496391296,0.8535064458847046,4422,4020253,0.3631276488304138,0.3772111876392849,factorized_prior
val_strain_only,1333,0.5193390846252441,0.964617908000946,0.6989426612854004,4421,5082936,0.5139349102973938,0.32390255694286846,factorized_prior
val_both,269,0.5026699304580688,0.9674758315086365,0.7706635892391205,4412,1008013,0.4973839521408081,0.24270599804183027,factorized_prior
val_time,139,0.3568047285079956,0.9834674000740051,0.8178636133670807,4422,520968,0.3505157232284546,0.5468303124768094,factorized_prior
val_chem_only,1065,0.37047845125198364,0.9823171496391296,0.8535064458847046,4422,4020253,0.3631276488304138,0.3772111876392849,scenario_router
val_strain_only,1333,0.4879751205444336,0.9687948822975159,0.6876024007797241,4421,5088955,0.48153024911880493,0.375720344957646,scenario_router
val_both,269,0.5038562417030334,0.9673412442207336,0.7540201246738434,4414,1008739,0.4976848065853119,0.2703367917284295,scenario_router
val_time,139,0.3568047285079956,0.9834674000740051,0.8178636133670807,4422,520968,0.3505157232284546,0.5468303124768094,scenario_router
