method,balanced_log2_rmse,balanced_delta_pcc,best_epoch
共享编码器，无批次分支,0.8200018107891083,0.19520746500099026,28.0
残差分解，无批次分支,0.8217277079820633,0.1858539086016299,8.0
残差分解+批次校准,0.44121526926755905,0.3701225577166274,48.0
共享编码器+批次校准,0.4406824856996536,0.3728295214288916,49.0
共享编码器+批次校准+多目标,0.44100742042064667,0.3854985460104424,49.0
去PCA初始化,0.4519607350230217,0.36747036636979546,49.0
去unknown-aware类别dropout,0.460616759955883,0.36668269921063856,39.0
factorized_prior,0.43732304871082306,0.3726625137751982,
neural_multiloss,0.44100742042064667,0.3854985460104425,
scenario_router,0.4297786355018616,0.39252465920054247,
